#tr1,tr2,id,dam,c1n1,c1c1,c1n2,c1c2,c2n1,c2c1,f11,f12,f13,f21,f22,f23,f24,mu
188.751999961566,1313.08444033617,3654,3197,7209038,2.75154638616368,2430280,19.904011473991,737510,18.1951768277213,8757731,7504877,8920550,6232915,3613497,2764769,9985099,1
90.3376548477177,213.270267777508,5016,7662,7209038,2.52196465665475,4430092,11.007772188168,737510,10.2661216841079,8757731,4430092,4867147,6232915,8635465,2764769,2556609,1
71.503216754287,111.925343042778,3817,4809,7209038,2.77224913239479,7504877,12.5907853711396,737510,0.558137693442404,8757731,2430280,1725155,6232915,3613497,5940176,6354820,1
-29.2787059403184,908.243124986137,4007,9749,7209038,1.91296192025766,9913031,14.6318069146946,737510,15.8955580787733,8757731,2430280,7698602,6232915,5339430,9050983,6402759,1
5.65301613834132,1263.60252036665,4713,4872,7209038,1.33274357020855,2430280,13.7170482473448,737510,17.9971616715193,8757731,5387199,706466,6232915,1344208,879353,9143813,1
-999999,339.890336941278,5897,5582,7209038,1.65019077342004,4867921,19.6766001242213,737510,-1.93065472180024,7209038,4430092,263872,6232915,3652985,8268867,9396105,1
49.8233236297595,310.121781031723,5316,4716,7209038,2.01844867132604,2430280,12.0920925959945,737510,11.2931551411748,7209038,8474487,9084988,6232915,9334189,7334275,4053502,1
-52.2741511927401,28.4371389110236,5439,2144,7209038,2.45541050750762,8512316,11.7628148547374,737510,2.7594513585791,8757731,4867921,376432,6232915,5339430,9485416,1656955,1
-14.1204123329849,102.543991616027,3424,2660,7209038,2.97947387583554,5387199,14.7295867023058,737510,8.97486097412184,8757731,9904011,862238,6232915,6823426,524706,3405415,1
1.04106265197809,362.969735946132,8990,9204,7209038,1.06907087005675,5387199,11.5131727023982,737510,11.7179130436853,8757731,8474487,9185365,6232915,2368609,929451,4324002,1
-22.579158217119,351.898088851336,4532,4719,7209038,1.30474698031321,9913031,15.0962733686902,737510,11.6211243649013,8757731,4867921,3358978,6232915,4766724,30006,2281379,1
-60.6065031390899,-999999,2216,8940,7209038,2.47136990493163,2284057,10.9349860483781,737510,6.72827407950535,7209038,9913031,7256114,6232915,3613497,3177513,2281379,1
-29.7770261316711,47.6678457979114,6114,8720,7209038,1.00227317307144,2284057,16.2459091562778,737510,2.2821268462576,8757731,4430092,5117866,6232915,5646929,1593549,262385,1
-0.561348991074074,606.646346144947,8971,8940,7209038,1.78240667050704,2284057,14.664464420639,737510,-4.20853964984417,7209038,4867921,6054572,6232915,7746634,5549065,2935667,1
-43.7173289799881,442.073692077091,4746,5680,7209038,1.92498930823058,9913031,17.4179685185663,737510,-2.89894168265164,8757731,8474487,9185365,6232915,7746634,929451,9396105,1
55.0572169510813,687.333255099216,2402,1420,7209038,1.77628796314821,2430280,17.805056895595,737510,14.4793361355551,8757731,8474487,6054572,6232915,5339430,8311837,3951130,1
-999999,-4.60497802242906,3185,7843,7209038,1.80497028352693,7504877,11.0955042112619,737510,6.02687619160861,7209038,4867921,862238,6232915,5478188,8268867,4128062,1
-11.3141315223625,-999999,5195,3304,7209038,1.35792716965079,4867921,14.3646126240492,737510,18.0932203284465,8757731,5387199,8148173,6232915,5646929,30006,6373570,1
9.42462756532294,727.42372159491,9302,5848,7209038,2.90331750735641,2269977,13.658015455585,737510,14.8217707709409,8757731,7504877,706466,6232915,4149367,5818999,6956414,1
-29.3833208812773,-999999,1473,8745,7209038,1.90745614655316,9913031,18.0601580045186,737510,-2.63293328229338,7209038,4867921,9156899,6232915,2017383,4045517,4324002,1
0.248499707848663,1200.88226728642,8151,5979,7209038,1.65350481728092,8474487,15.1226376718841,737510,-7.90398944867775,8757731,9913031,3404424,6232915,5339430,8268867,867268,1
50.4036065777085,9.84055467176721,1224,5092,7209038,2.93083064677194,7504877,18.3381991437636,737510,5.04868179326877,8757731,2430280,5591630,6232915,8375141,5352159,9985099,1
106.744825484997,81.424727514164,7476,9151,7209038,2.41496375435963,8474487,10.7675277790986,737510,8.60023779794574,7209038,8474487,1222159,6232915,8635465,5818999,3405415,1
37.9223291986116,783.038153770904,4424,1851,7209038,2.28908527316526,2269977,17.3043497558683,737510,15.10236737784,8757731,9913031,4986451,6232915,4149367,5549065,9985099,1
